t,x1_raw,x1,x2,line_pos,has_line,err,mode,v_cap,kp,ki,kd,base_v,left,right,ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7
0.4,74.05466624668665,77.32153494206472,88.81114468241127,0.06659547959921965,1.0,0.06848641804286412,HF,0.75,0.4,0.0,0.18,0.5,0.8049430847167967,0.1950569152832033,0,2,68,582,847,233,12,4
0.41000000000000003,80.49430847167966,77.9560896479877,93.42322975617778,0.05535503904181274,1.0,0.05535616193498884,HF,0.75,0.4,0.0,0.18,0.5,0.7142021451677596,0.2857978548322404,0,12,87,630,895,227,20,0
0.42,71.42021451677596,76.64891462174535,96.12149584976397,0.11206903057575096,1.0,0.10916512353079659,HF,0.75,0.4,0.0,0.18,0.5,-0.5,1.0,0,8,53,513,966,354,31,0
0.43,100.0,81.31913169739627,89.63348297466845,0.03514304804402155,1.0,0.02520063945225307,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.5,0,8,111,661,826,174,0,0
0.44,100.0,85.05530535791702,92.76813089787862,0.0740924204346471,1.0,0.07398945944649833,HF,0.75,0.4,0.0,0.18,0.5,-0.4077945436750141,1.0,0,0,59,588,906,251,9,0
0.45,100.0,88.04424428633362,91.87464180545366,0.09252321646474326,1.0,0.08954511369977679,HF,0.75,0.4,0.0,0.18,0.5,0.1841801779610771,0.8158198220389229,0,5,52,523,914,284,12,0
0.46,81.5819822038923,86.75179186984536,95.92945026583278,0.07265769116474426,1.0,0.07221930367606026,HF,0.75,0.4,0.0,0.18,0.5,0.7829768589564734,0.21702314104352666,0,3,72,605,937,271,9,0
0.47000000000000003,78.29768589564733,85.06097067500575,91.44989660569671,0.0243068815205328,1.0,0.03163542066301618,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.2178557259695869,0,14,125,698,813,175,31,9
0.48,100.0,88.0487765400046,91.74416481703847,0.049491323683483655,1.0,0.05857140677315848,HF,0.75,0.4,0.0,0.18,0.5,-0.008276312691824828,1.0,0,3,82,629,852,204,23,7
0.49,100.0,90.43902123200368,91.98405471736676,0.09632515746685422,1.0,0.08987699236188616,HF,0.75,0.4,0.0,0.18,0.5,-0.09945133754185276,1.0,0,0,66,525,911,299,11,0
0.5,100.0,92.35121698560295,93.85235509506329,0.1029096923593984,1.0,0.1018850462777274,HF,0.75,0.4,0.0,0.18,0.5,0.2431010110037667,0.7568989889962333,0,5,46,510,939,314,20,0
0.51,75.68989889962333,89.01895336840703,92.54091365155968,0.061586502657144326,1.0,0.06482131140572685,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.1412187031337192,0,0,74,620,888,227,12,6
0.52,100.0,91.21516269472562,88.66118943775726,0.07120731430648702,1.0,0.07279818398611886,HF,0.75,0.4,0.0,0.18,0.5,0.3272970199584963,0.6727029800415036,0,6,62,550,847,242,14,0
0.53,67.27029800415036,86.42618975661057,93.27718491755475,0.02474184916958453,1.0,0.02928999492100307,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.2714314052036829,0,0,108,714,819,173,15,0
0.54,100.0,89.14095180528845,93.67138422413028,0.03289812737187203,1.0,0.03241818291800363,HF,0.75,0.4,0.0,0.18,0.5,0.4307253428867885,0.5692746571132115,4,14,86,690,850,188,10,0
0.55,56.92746571132115,82.69825458649498,92.1731795749458,0.04979140451805056,1.0,0.043703011104038784,HF,0.75,0.4,0.0,0.18,0.5,0.2793918882097517,0.7206081117902483,9,4,91,639,858,210,13,0
0.56,72.06081117902482,80.57076590500094,92.57954971379283,0.09172332487616483,1.0,0.07897663116455078,HF,0.75,0.4,0.0,0.18,0.5,-0.1665158135550362,1.0,6,0,67,533,905,285,2,0
0.5700000000000001,100.0,84.45661272400075,92.03683675837911,0.08095729185839037,1.0,0.08224153518676758,HF,0.75,0.4,0.0,0.18,0.5,0.40833511352539065,0.5916648864746094,2,0,71,543,906,276,3,9
0.58,59.16648864746094,79.39858790869279,92.67699281498882,0.03624429104103903,1.0,0.02634627478463309,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.4955761773245676,5,20,103,682,839,186,14,0
0.59,100.0,83.51887032695423,92.14313247443879,0.03203223847435445,1.0,0.026117052350725447,HF,0.75,0.4,0.0,0.18,0.5,0.4936791828700474,0.5063208171299526,3,5,113,683,828,177,4,3
0.6,50.63208171299526,76.94151260416243,93.5139772332907,0.02009698744458474,1.0,0.0119302613394601,HF,0.75,0.4,0.0,0.18,0.5,0.7505901336669922,0.24940986633300777,6,14,122,742,812,160,0,12
